"","iso3166_country","GID_0_gadm","NAME_0_gadm","GID_1_gadm","GID_1_edits","NAME_1_gadm","VARNAME_1_gadm","NL_NAME_1_gadm","TYPE_1_gadm","ENGTYPE_1_gadm","CC_1_gadm","HASC_1_gadm","region_polygoncluster","polygoncluster_name","project_ifnodata","project_ifconstructed","regionname_ISOenglish","regionname_alt","regionname_nativescript","regioncode","system","regioncode_changed","regioncode_old","Notes","mergekey","regioncode_disagg"
"41","AF","AFG","Afghanistan","AFG.27_1","AFG.27_1","Panjshir",NA,"Panjshir","Velayat","Province",NA,"AF.PJ","","",NA,NA,"Panjshayr","Panjshir","پنجشیر","AF-PAN","iso3166-2","","","","AF-PAN","AF-PAN"
"42","AF","AFG","Afghanistan","AFG.28_1","AFG.28_1","Parwan","Charikar","Parwan","Velayat","Province",NA,"AF.PV","","",NA,NA,"Parwān","Parwan","پروان","AF-PAR","iso3166-2","","","","AF-PAR","AF-PAR"
"43","AF","AFG","Afghanistan","AFG.29_1","AFG.29_1","Samangan",NA,"Samangan","Velayat","Province",NA,"AF.SM","","",NA,NA,"Samangān","Samangan","سمنگان","AF-SAM","iso3166-2","","","","AF-SAM","AF-SAM"
"44","AF","AFG","Afghanistan","AFG.30_1","AFG.30_1","Sari Pul","Sar-e Pul|Saripol","Sari Pul","Velayat","Province",NA,"AF.SP","","",NA,NA,"Sar-e Pul","Sar-e Pol","سرپل","AF-SAR","iso3166-2","","","","AF-SAR","AF-SAR"
"45","AF","AFG","Afghanistan","AFG.31_1","AFG.31_1","Takhar","Takar","Takhar","Velayat","Province",NA,"AF.TK","","",NA,NA,"Takhār","Takhar","تخار","AF-TAK","iso3166-2","","","","AF-TAK","AF-TAK"
"46","AF","AFG","Afghanistan","AFG.32_1","AFG.32_1","Uruzgan","Urozgan","Uruzgan","Velayat","Province",NA,"AF.OZ","","",NA,NA,"Uruzgān","Urozgan","اروزگان","AF-URU","iso3166-2","","","","AF-URU","AF-URU"
"47","AF","AFG","Afghanistan","AFG.33_1","AFG.33_1","Wardak","Verdak|Wardag|Maiden","Wardak","Velayat","Province",NA,"AF.VR","","",NA,NA,"Wardak","Maidan Wardak","ميدان وردگ","AF-WAR","iso3166-2","","","","AF-WAR","AF-WAR"
"48","AF","AFG","Afghanistan","AFG.34_1","AFG.34_1","Zabul","Zubul|Zaboul","Zabul","Velayat","Province",NA,"AF.ZB","","",NA,NA,"Zābul","Zabul","زابل","AF-ZAB","iso3166-2","","","","AF-ZAB","AF-ZAB"
"49","AG","ATG","Antigua and Barbuda","ATG.1_1","ATG.1_1","Barbuda","Codrington","Barbuda","Dependency","Dependency",NA,"AG.BB","nat","Antigua and Barbuda",NA,NA,"Barbuda","","Barbuda","AG.nat","iso3166-2","","","","AG.nat","AG-10"
"50","AG","ATG","Antigua and Barbuda","ATG.2_1","ATG.2_1","Redonda",NA,"Redonda","Dependency","Dependency",NA,"AG.RD","nat","Antigua and Barbuda",NA,NA,"Redonda","","Redonda","AG.nat","iso3166-2","","","","AG.nat","AG-11"
"51","AG","ATG","Antigua and Barbuda","ATG.3_1","ATG.3_1","Saint George","Parham","Saint George","Parish","Parish",NA,"AG.GE","nat","Antigua and Barbuda",NA,NA,"Saint George","","Saint George","AG.nat","iso3166-2","","","","AG.nat","AG-03"
"52","AG","ATG","Antigua and Barbuda","ATG.4_1","ATG.4_1","Saint John","Saint John's","Saint John","Parish","Parish",NA,"AG.JO","nat","Antigua and Barbuda",NA,NA,"Saint John","","Saint John","AG.nat","iso3166-2","","","","AG.nat","AG-04"
