iso3166_country,GID_0_gadm,NAME_0_gadm,GID_1_gadm,GID_1_edits,NAME_1_gadm,VARNAME_1_gadm,NL_NAME_1_gadm,TYPE_1_gadm,ENGTYPE_1_gadm,CC_1_gadm,HASC_1_gadm,region_polygoncluster,polygoncluster_name,project_ifnodata,project_ifconstructed,regionname_ISOenglish,regionname_alt,regionname_nativescript,regioncode,system,Notes1,Notes2,Notes3,mean.scl.regional_2002-03,mean.scl.regional_2004-05,mean.scl.regional_2006-07,mean.scl.regional_2008-09,mean.scl.regional_2010-11,mean.scl.regional_2012-13,mean.scl.regional_2014-15,mean.scl.regional_2016-17,mean.scl.regional_2018-19,mean.scl.regional_2020-21,mean.scl.regional_2022-23,mean.scl.national_2002-03,mean.scl.national_2004-05,mean.scl.national_2006-07,mean.scl.national_2008-09,mean.scl.national_2010-11,mean.scl.national_2012-13,mean.scl.national_2014-15,mean.scl.national_2016-17,mean.scl.national_2018-19,mean.scl.national_2020-21,mean.scl.national_2022-23
AF,AFG,Afghanistan,AFG.7_1,AFG.7_1,Farah,NA,Farah,Velayat,Province,NA,AF.FH,NA,NA,NA,NA,Farāh,Farah,فراه,AF-FRA,iso3166-2,NA,NA,NA,0.35668406830290367,0.3615735777263451,0.3597432762910331,0.3581948138869412,0.4992317499527992,0.48905438791012495,0.4777861747037707,0.46706334452149306,0.4570555392509901,0.4430081927516431,0.4441952530785542,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.8_1,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,Faryab,Velayat,Province,NA,AF.FB,NA,NA,NA,NA,Fāryāb,Faryab,فاریاب,AF-FYB,iso3166-2,NA,NA,NA,0.39771028757635246,0.4058099992942093,0.4083342416842854,0.4118416240867667,0.5538525117791118,0.5462339830029359,0.5362648222404971,0.5260792386330603,0.517490270413756,0.5131985464160875,0.5134415055393738,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.9_1,AFG.9_1,Ghazni,Gazni,Ghazni,Velayat,Province,NA,AF.GZ,NA,NA,NA,NA,Ghaznī,Ghazni,غزنى,AF-GHA,iso3166-2,NA,NA,NA,0.35505570852213797,0.3603518754473352,0.35906968126071676,0.3574779047167651,0.4706512733597121,0.47669697283302237,0.4791819662619173,0.4831098205469233,0.48945160618806133,0.4629167781358366,0.46359227234345,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.10_1,AFG.10_1,Ghor,Gawr|Ghore|Ghour|Ghur,Ghor,Velayat,Province,NA,AF.GR,NA,NA,NA,NA,Ghōr,Ghōr,غور,AF-GHO,iso3166-2,NA,NA,NA,0.3782613610495818,0.385000033049631,0.3873244753958053,0.3889304734488667,0.5301261399967183,0.5200016337655456,0.5082140678023152,0.49756676626740676,0.4869905295294634,0.48717279251231466,0.4891539542609352,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.11_1,AFG.11_1,Hilmand,Girishk|Hilmend,Hilmand,Velayat,Province,NA,AF.HM,NA,NA,NA,NA,Helmand,Helmand,هلمند,AF-HEL,iso3166-2,NA,NA,NA,0.38024305040444983,0.3873027178386336,0.3878133381503953,0.38916499260374565,0.6281103026478102,0.5796502791462045,0.5312955887224285,0.48305381029091854,0.4357474228285404,0.42101788607695195,0.42202118561681373,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.12_1,AFG.12_1,Hirat,NA,Hirat,Velayat,Province,NA,AF.HR,NA,NA,NA,NA,Herāt,Herat,هرات,AF-HER,iso3166-2,NA,NA,NA,0.3799391142520841,0.38601050122437897,0.3859516899875322,0.3859789646939651,0.5155167523260991,0.4988396959872338,0.4804772341134485,0.46352742098603295,0.4468292093670751,0.4256269076185391,0.4269583469432844,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.13_1,AFG.13_1,Jawzjan,Jaozjan|Jozjan|Juzjan|Jouzjan|Shibarghan,Jawzjan,Velayat,Province,NA,AF.JW,NA,NA,NA,NA,Jowzjān,Jowzjan,جوزجان,AF-JOW,iso3166-2,NA,NA,NA,0.3554726283379901,0.3596877831013273,0.35695313196304174,0.35594450985696136,0.4923552383636335,0.4695738322215433,0.4450880475379747,0.41995088591340674,0.3970573657148293,0.37019715783162616,0.37089438554761317,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.14_1,AFG.14_1,Kabul,Cabul|Kabol|Kaboul,Kabul,Velayat,Province,NA,AF.KB,NA,NA,NA,NA,Kābul,Kabul,کابل,AF-KAB,iso3166-2,NA,NA,NA,0.40513170592071385,0.41388608364253254,0.41665846429297115,0.4212494353368889,0.5538851440011867,0.5319298202867615,0.5099657127044391,0.48749413980306655,0.4674763238432634,0.4903832708885712,0.4918934491381305,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.15_1,AFG.15_1,Kandahar,Qandahar,Kandahar,Velayat,Province,NA,AF.KD,NA,NA,NA,NA,Kandahār,Kandahar,قندهار,AF-KAN,iso3166-2,NA,NA,NA,0.34820842048143996,0.3513349262576055,0.35012949117048947,0.3490837523370969,0.4722304444637637,0.4792280274352811,0.48438565836983283,0.48977274190114034,0.4970756015310493,0.47722223632757954,0.47982256894844333,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.16_1,AFG.16_1,Kapisa,Kapesa,Kapisa,Velayat,Province,NA,AF.KP,NA,NA,NA,NA,Kāpīsā,Kapisa,کاپیسا,AF-KAP,iso3166-2,NA,NA,NA,0.3040556214724233,0.30339843321909915,0.29589484505783636,0.29026515709289086,0.42368198617289043,0.40428481778765696,0.38381350108036894,0.36497379762129273,0.34777842103879797,0.32937790672703465,0.3302745714005895,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
